n_dose,region,cov1y,cov2y,cov3y,cov4y,cov5y
1,east midlands,0.7145,0.9117,0.9285,0.9373,0.9396
1,east of england,0.71,0.8924,0.9081,0.9107,0.9091
1,london,0.6707,0.8157,0.8511,0.8595,0.8591
1,north east,0.7188,0.9181,0.925,0.9424,0.9459
1,north west,0.7054,0.9088,0.9265,0.9348,0.9391
1,south east,0.7047,0.8905,0.902,0.9076,0.907
1,south west,0.7026,0.9025,0.9182,0.9305,0.9325
1,west midlands,0.7098,0.9025,0.9222,0.93,0.9358
1,yorkshire and the humber,0.7067,0.9052,0.9273,0.9335,0.9367
2,east midlands,0.0,0.7406,0.8646,0.8688,0.871
2,east of england,0.0,0.7406,0.8462,0.8501,0.8507
2,london,0.0,0.6027,0.7263,0.7352,0.7373
2,north east,0.0,0.8161,0.8839,0.8857,0.89
2,north west,0.0,0.7362,0.8605,0.8649,0.867
2,south east,0.0,0.73,0.83,0.8329,0.8343
2,south west,0.0,0.7362,0.8608,0.8647,0.8678
2,west midlands,0.0,0.7685,0.8582,0.8632,0.8651
2,yorkshire and the humber,0.0,0.7559,0.8619,0.8674,0.869
