Region,Year,Dose,Adjusted,Coverage
England,2015,MMR1,No,91.2
England,2014,MMR1,No,91.6
England,2013,MMR1,No,91.4
England,2012,MMR1,No,94.9
England,2011,MMR1,No,95
England,2010,MMR1,No,94.9
England,2009,MMR1,No,94.6
England,2008,MMR1,No,94.4
England,2007,MMR1,No,94.2
England,2006,MMR1,No,93.5
England,2005,MMR1,No,92.4
England,2004,MMR1,No,91.5
England,2003,MMR1,No,89.9
England,2002,MMR1,No,87.3
England,2001,MMR1,No,86.8
England,2000,MMR1,No,86
England,1999,MMR1,No,88.6
England,1998,MMR1,No,89.6
England,1997,MMR1,No,90.5
England,1996,MMR1,No,90.8
England,1995,MMR1,No,91.7
England,1994,MMR1,No,92.6
England,1993,MMR1,No,93.5
England,1992,MMR1,No,94.1
England,1991,MMR1,No,92.4
England,1990,MMR1,No,92.7
England,1989,MMR1,No,92
England,1988,MMR1,No,89.8
England,1987,MMR1,No,87.2
England,1986,MMR1,No,90.8
England,1985,MMR1,No,77.9
London,2015,MMR1,No,85.1
London,2014,MMR1,No,85.1
London,2013,MMR1,No,86.4
London,2012,MMR1,No,91.4
London,2011,MMR1,No,91.1
London,2010,MMR1,No,90.9
London,2009,MMR1,No,91.1
London,2008,MMR1,No,90.9
London,2007,MMR1,No,91.3
London,2006,MMR1,No,90.4
London,2005,MMR1,No,88.4
London,2004,MMR1,No,86.7
London,2003,MMR1,No,82.7
London,2002,MMR1,No,76.9
London,2001,MMR1,No,75.6
London,2000,MMR1,No,75.8
London,1999,MMR1,No,79
London,1998,MMR1,No,80
London,1997,MMR1,No,80.2
London,1996,MMR1,No,83.5
London,1995,MMR1,No,84.7
London,1994,MMR1,No,85
London,1993,MMR1,No,87.7
London,1992,MMR1,No,88.1
London,1991,MMR1,No,87.6
London,1990,MMR1,No,87.7
London,1989,MMR1,No,86.8
London,1988,MMR1,No,81.1
London,1987,MMR1,No,77.3
London,1986,MMR1,No,80
London,1985,MMR1,No,67.1
England,2015,MMR2,No,
England,2014,MMR2,No,
England,2013,MMR2,No,
England,2012,MMR2,No,87.2
England,2011,MMR2,No,87.6
England,2010,MMR2,No,87.6
England,2009,MMR2,No,88.4
England,2008,MMR2,No,88.4
England,2007,MMR2,No,88.3
England,2006,MMR2,No,87
England,2005,MMR2,No,84.6
England,2004,MMR2,No,83
England,2003,MMR2,No,80.1
England,2002,MMR2,No,74.7
England,2001,MMR2,No,73.2
England,2000,MMR2,No,73
England,1999,MMR2,No,74
England,1998,MMR2,No,74.6
England,1997,MMR2,No,74.6
England,1996,MMR2,No,74
England,1995,MMR2,No,74.2
England,1994,MMR2,No,74.7
England,1993,MMR2,No,76.4
